23/09/03  3:15:00,   -0.194       0.0       0.0
23/09/03  3:30:00,   -0.054       0.0       0.0
23/09/03  3:45:00,   -0.084       0.0       0.0
23/09/03  4:00:00,   -0.054       0.0       0.0
23/09/03  4:15:00,    0.046       0.0       0.0
23/09/03  4:30:00,    0.026       0.0       0.0
23/09/03  4:45:00,    0.086       0.0       0.0
23/09/03  5:00:00,    0.226       0.0       0.0
23/09/03  5:15:00,    0.106       0.0       0.0
23/09/03  5:30:00,    0.166       0.0       0.0
23/09/03  5:45:00,    0.216       0.0       0.0
23/09/03  6:00:00,    0.236       0.0       0.0
23/09/03  6:15:00,    0.206       0.0       0.0
23/09/03  6:30:00,    0.186       0.0       0.0
23/09/03  6:45:00,    0.216       0.0       0.0
23/09/03  7:00:00,    0.186       0.0       0.0
23/09/03  7:15:00,    0.206       0.0       0.0
23/09/03  7:30:00,    0.106       0.0       0.0
23/09/03  7:45:00,    0.086       0.0       0.0
23/09/03  8:00:00,    0.096       0.0       0.0
23/09/03  8:15:00,    0.046       0.0       0.0
23/09/03  8:30:00,    0.006       0.0       0.0
23/09/03  8:45:00,   -0.064       0.0       0.0
23/09/03  9:00:00,   -0.064       0.0       0.0
23/09/03  9:15:00,   -0.134       0.0       0.0
23/09/03  9:30:00,   -0.184       0.0       0.0
23/09/03  9:45:00,   -0.194       0.0       0.0
23/09/03 10:00:00,   -0.254       0.0       0.0
23/09/03 10:15:00,   -0.294       0.0       0.0
23/09/03 10:30:00,   -0.324       0.0       0.0
23/09/03 10:45:00,   -0.334       0.0       0.0
23/09/03 11:00:00,   -0.364       0.0       0.0
23/09/03 11:15:00,   -0.404       0.0       0.0
23/09/03 11:30:00,   -0.404       0.0       0.0
23/09/03 11:45:00,   -0.384       0.0       0.0
23/09/03 12:00:00,   -0.404       0.0       0.0
23/09/03 12:15:00,   -0.384       0.0       0.0
23/09/03 12:30:00,   -0.344       0.0       0.0
23/09/03 12:45:00,   -0.324       0.0       0.0
23/09/03 13:00:00,   -0.304       0.0       0.0
23/09/03 13:15:00,   -0.234       0.0       0.0
23/09/03 13:30:00,   -0.234       0.0       0.0
23/09/03 13:45:00,   -0.154       0.0       0.0
23/09/03 14:00:00,   -0.094       0.0       0.0
23/09/03 14:15:00,   -0.084       0.0       0.0
23/09/03 14:30:00,    0.046       0.0       0.0
23/09/03 14:45:00,    0.096       0.0       0.0
23/09/03 15:00:00,    0.116       0.0       0.0
23/09/03 15:15:00,    0.236       0.0       0.0
23/09/03 15:30:00,    0.256       0.0       0.0
23/09/03 15:45:00,    0.346       0.0       0.0
23/09/03 16:00:00,    0.396       0.0       0.0
23/09/03 16:15:00,    0.466       0.0       0.0
23/09/03 16:30:00,    0.466       0.0       0.0
23/09/03 16:45:00,    0.556       0.0       0.0
23/09/03 17:00:00,    0.626       0.0       0.0
23/09/03 17:15:00,    0.596       0.0       0.0
23/09/03 17:30:00,    0.686       0.0       0.0
23/09/03 17:45:00,    0.656       0.0       0.0
23/09/03 18:00:00,    0.686       0.0       0.0
23/09/03 18:15:00,    0.726       0.0       0.0
23/09/03 18:30:00,    0.656       0.0       0.0
23/09/03 18:45:00,    0.686       0.0       0.0
23/09/03 19:00:00,    0.606       0.0       0.0
23/09/03 19:15:00,    0.636       0.0       0.0
23/09/03 19:30:00,    0.596       0.0       0.0
23/09/03 19:45:00,    0.506       0.0       0.0
23/09/03 20:00:00,    0.456       0.0       0.0
23/09/03 20:15:00,    0.446       0.0       0.0
23/09/03 20:30:00,    0.356       0.0       0.0
23/09/03 20:45:00,    0.236       0.0       0.0
23/09/03 21:00:00,    0.196       0.0       0.0
23/09/03 21:15:00,    0.126       0.0       0.0
23/09/03 21:30:00,    0.036       0.0       0.0
23/09/03 21:45:00,   -0.034       0.0       0.0
23/09/03 22:00:00,   -0.114       0.0       0.0
23/09/03 22:15:00,   -0.184       0.0       0.0
23/09/03 22:30:00,   -0.204       0.0       0.0
23/09/03 22:45:00,   -0.334       0.0       0.0
23/09/03 23:00:00,   -0.394       0.0       0.0
23/09/03 23:15:00,   -0.404       0.0       0.0
23/09/03 23:30:00,   -0.434       0.0       0.0
23/09/03 23:45:00,   -0.504       0.0       0.0
24/09/03  0:00:00,   -0.514       0.0       0.0
24/09/03  0:15:00,   -0.544       0.0       0.0
24/09/03  0:30:00,   -0.564       0.0       0.0
