Stage,Xmom,Ymom,timestamp,DateTimeTZ
-0.484,0,0,1064233800,2003-09-22 22:30:00+10:00
-0.454,0,0,1064234700,2003-09-22 22:45:00+10:00
-0.454,0,0,1064235600,2003-09-22 23:00:00+10:00
-0.614,0,0,1064236500,2003-09-22 23:15:00+10:00
-0.564,0,0,1064237400,2003-09-22 23:30:00+10:00
-0.634,0,0,1064238300,2003-09-22 23:45:00+10:00
-0.544,0,0,1064239200,2003-09-23 00:00:00+10:00
-0.564,0,0,1064240100,2003-09-23 00:15:00+10:00
-0.624,0,0,1064241000,2003-09-23 00:30:00+10:00
-0.664,0,0,1064241900,2003-09-23 00:45:00+10:00
-0.604,0,0,1064242800,2003-09-23 01:00:00+10:00
-0.404,0,0,1064243700,2003-09-23 01:15:00+10:00
-0.524,0,0,1064244600,2003-09-23 01:30:00+10:00
-0.584,0,0,1064245500,2003-09-23 01:45:00+10:00
-0.414,0,0,1064246400,2003-09-23 02:00:00+10:00
-0.374,0,0,1064247300,2003-09-23 02:15:00+10:00
-0.324,0,0,1064248200,2003-09-23 02:30:00+10:00
-0.284,0,0,1064249100,2003-09-23 02:45:00+10:00
-0.294,0,0,1064250000,2003-09-23 03:00:00+10:00
-0.194,0,0,1064250900,2003-09-23 03:15:00+10:00
-0.054,0,0,1064251800,2003-09-23 03:30:00+10:00
-0.084,0,0,1064252700,2003-09-23 03:45:00+10:00
-0.054,0,0,1064253600,2003-09-23 04:00:00+10:00
0.046,0,0,1064254500,2003-09-23 04:15:00+10:00
0.026,0,0,1064255400,2003-09-23 04:30:00+10:00
0.086,0,0,1064256300,2003-09-23 04:45:00+10:00
0.226,0,0,1064257200,2003-09-23 05:00:00+10:00
0.106,0,0,1064258100,2003-09-23 05:15:00+10:00
0.166,0,0,1064259000,2003-09-23 05:30:00+10:00
0.216,0,0,1064259900,2003-09-23 05:45:00+10:00
0.236,0,0,1064260800,2003-09-23 06:00:00+10:00
0.206,0,0,1064261700,2003-09-23 06:15:00+10:00
0.186,0,0,1064262600,2003-09-23 06:30:00+10:00
0.216,0,0,1064263500,2003-09-23 06:45:00+10:00
0.186,0,0,1064264400,2003-09-23 07:00:00+10:00
0.206,0,0,1064265300,2003-09-23 07:15:00+10:00
0.106,0,0,1064266200,2003-09-23 07:30:00+10:00
0.086,0,0,1064267100,2003-09-23 07:45:00+10:00
0.096,0,0,1064268000,2003-09-23 08:00:00+10:00
0.046,0,0,1064268900,2003-09-23 08:15:00+10:00
0.006,0,0,1064269800,2003-09-23 08:30:00+10:00
-0.064,0,0,1064270700,2003-09-23 08:45:00+10:00
-0.064,0,0,1064271600,2003-09-23 09:00:00+10:00
-0.134,0,0,1064272500,2003-09-23 09:15:00+10:00
-0.184,0,0,1064273400,2003-09-23 09:30:00+10:00
-0.194,0,0,1064274300,2003-09-23 09:45:00+10:00
-0.254,0,0,1064275200,2003-09-23 10:00:00+10:00
-0.294,0,0,1064276100,2003-09-23 10:15:00+10:00
-0.324,0,0,1064277000,2003-09-23 10:30:00+10:00
-0.334,0,0,1064277900,2003-09-23 10:45:00+10:00
-0.364,0,0,1064278800,2003-09-23 11:00:00+10:00
-0.404,0,0,1064279700,2003-09-23 11:15:00+10:00
-0.404,0,0,1064280600,2003-09-23 11:30:00+10:00
-0.384,0,0,1064281500,2003-09-23 11:45:00+10:00
-0.404,0,0,1064282400,2003-09-23 12:00:00+10:00
-0.384,0,0,1064283300,2003-09-23 12:15:00+10:00
-0.344,0,0,1064284200,2003-09-23 12:30:00+10:00
-0.324,0,0,1064285100,2003-09-23 12:45:00+10:00
-0.304,0,0,1064286000,2003-09-23 13:00:00+10:00
-0.234,0,0,1064286900,2003-09-23 13:15:00+10:00
-0.234,0,0,1064287800,2003-09-23 13:30:00+10:00
-0.154,0,0,1064288700,2003-09-23 13:45:00+10:00
-0.094,0,0,1064289600,2003-09-23 14:00:00+10:00
-0.084,0,0,1064290500,2003-09-23 14:15:00+10:00
0.046,0,0,1064291400,2003-09-23 14:30:00+10:00
0.096,0,0,1064292300,2003-09-23 14:45:00+10:00
0.116,0,0,1064293200,2003-09-23 15:00:00+10:00
0.236,0,0,1064294100,2003-09-23 15:15:00+10:00
0.256,0,0,1064295000,2003-09-23 15:30:00+10:00
0.346,0,0,1064295900,2003-09-23 15:45:00+10:00
0.396,0,0,1064296800,2003-09-23 16:00:00+10:00
0.466,0,0,1064297700,2003-09-23 16:15:00+10:00
0.466,0,0,1064298600,2003-09-23 16:30:00+10:00
0.556,0,0,1064299500,2003-09-23 16:45:00+10:00
0.626,0,0,1064300400,2003-09-23 17:00:00+10:00
0.596,0,0,1064301300,2003-09-23 17:15:00+10:00
0.686,0,0,1064302200,2003-09-23 17:30:00+10:00
0.656,0,0,1064303100,2003-09-23 17:45:00+10:00
0.686,0,0,1064304000,2003-09-23 18:00:00+10:00
0.726,0,0,1064304900,2003-09-23 18:15:00+10:00
0.656,0,0,1064305800,2003-09-23 18:30:00+10:00
0.686,0,0,1064306700,2003-09-23 18:45:00+10:00
0.606,0,0,1064307600,2003-09-23 19:00:00+10:00
0.636,0,0,1064308500,2003-09-23 19:15:00+10:00
0.596,0,0,1064309400,2003-09-23 19:30:00+10:00
0.506,0,0,1064310300,2003-09-23 19:45:00+10:00
0.456,0,0,1064311200,2003-09-23 20:00:00+10:00
0.446,0,0,1064312100,2003-09-23 20:15:00+10:00
0.356,0,0,1064313000,2003-09-23 20:30:00+10:00
0.236,0,0,1064313900,2003-09-23 20:45:00+10:00
0.196,0,0,1064314800,2003-09-23 21:00:00+10:00
0.126,0,0,1064315700,2003-09-23 21:15:00+10:00
0.036,0,0,1064316600,2003-09-23 21:30:00+10:00
-0.034,0,0,1064317500,2003-09-23 21:45:00+10:00
-0.114,0,0,1064318400,2003-09-23 22:00:00+10:00
-0.184,0,0,1064319300,2003-09-23 22:15:00+10:00
-0.204,0,0,1064320200,2003-09-23 22:30:00+10:00
-0.334,0,0,1064321100,2003-09-23 22:45:00+10:00
-0.394,0,0,1064322000,2003-09-23 23:00:00+10:00
-0.404,0,0,1064322900,2003-09-23 23:15:00+10:00
-0.434,0,0,1064323800,2003-09-23 23:30:00+10:00
-0.504,0,0,1064324700,2003-09-23 23:45:00+10:00
-0.514,0,0,1064325600,2003-09-24 00:00:00+10:00
-0.544,0,0,1064326500,2003-09-24 00:15:00+10:00
-0.564,0,0,1064327400,2003-09-24 00:30:00+10:00
-0.544,0,0,1064328300,2003-09-24 00:45:00+10:00
-0.574,0,0,1064329200,2003-09-24 01:00:00+10:00
-0.564,0,0,1064330100,2003-09-24 01:15:00+10:00
-0.534,0,0,1064331000,2003-09-24 01:30:00+10:00
-0.454,0,0,1064331900,2003-09-24 01:45:00+10:00
-0.494,0,0,1064332800,2003-09-24 02:00:00+10:00
-0.444,0,0,1064333700,2003-09-24 02:15:00+10:00
-0.334,0,0,1064334600,2003-09-24 02:30:00+10:00
-0.404,0,0,1064335500,2003-09-24 02:45:00+10:00
-0.194,0,0,1064336400,2003-09-24 03:00:00+10:00
-0.154,0,0,1064337300,2003-09-24 03:15:00+10:00
-0.204,0,0,1064338200,2003-09-24 03:30:00+10:00
-0.044,0,0,1064339100,2003-09-24 03:45:00+10:00
0.006,0,0,1064340000,2003-09-24 04:00:00+10:00
0.056,0,0,1064340900,2003-09-24 04:15:00+10:00
0.116,0,0,1064341800,2003-09-24 04:30:00+10:00
0.176,0,0,1064342700,2003-09-24 04:45:00+10:00
0.216,0,0,1064343600,2003-09-24 05:00:00+10:00
0.296,0,0,1064344500,2003-09-24 05:15:00+10:00
0.346,0,0,1064345400,2003-09-24 05:30:00+10:00
0.316,0,0,1064346300,2003-09-24 05:45:00+10:00
0.416,0,0,1064347200,2003-09-24 06:00:00+10:00
0.356,0,0,1064348100,2003-09-24 06:15:00+10:00
0.426,0,0,1064349000,2003-09-24 06:30:00+10:00
0.526,0,0,1064349900,2003-09-24 06:45:00+10:00
