easting,northing,name,elevation
760375.1,5912233.1,boundary,0.0
759205.0,5912912.0,gauge4,0.0
760070.0,5912979.0,gauge2,0.0
759306.0,5913042.0,gauge3,0.0
759269.0,5912751.0,gauge5,0.0
757799.0,5910529.0,gauge6,0.0
757545.0,5912703.0,gauge7,0.0
756507.0,5913260.0,gauge8,0.0
