Day,Stage,timestamp,DateTimeTZ
274.0,-0.19,1096466400.0,2004-09-30 00:00:00+10:00
274.01042,-0.27,1096467300.0,2004-09-30 00:15:00+10:00
274.02083,-0.36,1096468200.0,2004-09-30 00:30:00+10:00
274.03125,-0.4,1096469100.0,2004-09-30 00:45:00+10:00
274.04167,-0.46,1096470000.0,2004-09-30 01:00:00+10:00
274.05208,-0.57,1096470900.0,2004-09-30 01:15:00+10:00
274.0625,-0.59,1096471800.0,2004-09-30 01:30:00+10:00
274.07292,-0.64,1096472700.0,2004-09-30 01:45:00+10:00
274.08333,-0.67,1096473600.0,2004-09-30 02:00:00+10:00
274.09375,-0.71,1096474500.0,2004-09-30 02:15:00+10:00
274.10417,-0.75,1096475400.0,2004-09-30 02:30:00+10:00
274.11458,-0.75,1096476300.0,2004-09-30 02:45:00+10:00
274.125,-0.73,1096477200.0,2004-09-30 03:00:00+10:00
274.13542,-0.73,1096478100.0,2004-09-30 03:15:00+10:00
274.14583,-0.75,1096479000.0,2004-09-30 03:30:00+10:00
274.15625,-0.72,1096479900.0,2004-09-30 03:45:00+10:00
274.16667,-0.66,1096480800.0,2004-09-30 04:00:00+10:00
274.17708,-0.6,1096481700.0,2004-09-30 04:15:00+10:00
274.1875,-0.6,1096482600.0,2004-09-30 04:30:00+10:00
274.19792,-0.56,1096483500.0,2004-09-30 04:45:00+10:00
274.20833,-0.42,1096484400.0,2004-09-30 05:00:00+10:00
274.21875,-0.38,1096485300.0,2004-09-30 05:15:00+10:00
274.22917,-0.3,1096486200.0,2004-09-30 05:30:00+10:00
274.23958,-0.25,1096487100.0,2004-09-30 05:45:00+10:00
274.25,-0.17,1096488000.0,2004-09-30 06:00:00+10:00
274.26042,-0.06,1096488900.0,2004-09-30 06:15:00+10:00
274.27083,0.0,1096489800.0,2004-09-30 06:30:00+10:00
274.28125,0.03,1096490700.0,2004-09-30 06:45:00+10:00
274.29167,0.11,1096491600.0,2004-09-30 07:00:00+10:00
274.30208,0.23,1096492500.0,2004-09-30 07:15:00+10:00
274.3125,0.25,1096493400.0,2004-09-30 07:30:00+10:00
274.32292,0.33,1096494300.0,2004-09-30 07:45:00+10:00
274.33333,0.32,1096495200.0,2004-09-30 08:00:00+10:00
274.34375,0.39,1096496100.0,2004-09-30 08:15:00+10:00
274.35417,0.45,1096497000.0,2004-09-30 08:30:00+10:00
274.36458,0.46,1096497900.0,2004-09-30 08:45:00+10:00
274.375,0.47,1096498800.0,2004-09-30 09:00:00+10:00
274.38542,0.45,1096499700.0,2004-09-30 09:15:00+10:00
274.39583,0.48,1096500600.0,2004-09-30 09:30:00+10:00
274.40625,0.47,1096501500.0,2004-09-30 09:45:00+10:00
274.41667,0.43,1096502400.0,2004-09-30 10:00:00+10:00
274.42708,0.38,1096503300.0,2004-09-30 10:15:00+10:00
274.4375,0.37,1096504200.0,2004-09-30 10:30:00+10:00
274.44792,0.29,1096505100.0,2004-09-30 10:45:00+10:00
274.45833,0.26,1096506000.0,2004-09-30 11:00:00+10:00
